"","facility","total","vaginal","vbac","cesarean","county","year"
"177","Home Birth (Unplanned)",2,2,0,0,"Clackamas County",2009
"178","Other",5,5,0,0,"Clackamas County",2009
"179","Total Births",431,306,1,124,"Clatsop County",2009
"180","Columbia Memorial Hospital",315,222,0,93,"Clatsop County",2009
"181","Providence Seaside Hospital",107,75,1,31,"Clatsop County",2009
"182","Home Birth (Planned)",7,7,0,0,"Clatsop County",2009
"183","Home Birth (Unplanned)",2,2,0,0,"Clatsop County",2009
"184","Total Births",14,14,0,0,"Columbia County",2009
"185","Home Birth (Planned)",14,14,0,0,"Columbia County",2009
"186","Total Births",690,469,12,209,"Coos County",2009
"187","Bay Area Hospital",647,432,10,205,"Coos County",2009
"188","Coquille Valley Hospital",35,31,0,4,"Coos County",2009
"189","Home Birth (Planned)",6,4,2,0,"Coos County",2009
"190","Home Birth (Unplanned)",2,2,0,0,"Coos County",2009
"191","Total Births",119,90,0,29,"Crook County",2009
"192","Pioneer Memorial Hospital (Prineville)",116,88,0,28,"Crook County",2009
"193","St Charles Medical Center - Bend",2,1,0,1,"Crook County",2009
"194","Home Birth (Planned)",1,1,0,0,"Crook County",2009
"195","Total Births",50,42,0,8,"Curry County",2009
"196","Curry General Hospital",47,39,0,8,"Curry County",2009
"197","Home Birth (Planned)",3,3,0,0,"Curry County",2009
"198","Total Births",2135,1532,35,568,"Deschutes County",2009
"199","St Charles Medical Center - Bend",1801,1268,32,501,"Deschutes County",2009
"200","St Charles Medical Center - Redmond",255,188,0,67,"Deschutes County",2009
"201","Bend Birth Center",13,13,0,0,"Deschutes County",2009
"202","Motherwise Community Birth Center",37,36,1,0,"Deschutes County",2009
"203","Home Birth (Planned)",26,25,1,0,"Deschutes County",2009
"204","Home Birth (Unplanned)",2,1,1,0,"Deschutes County",2009
"205","Other",1,1,0,0,"Deschutes County",2009
"206","Total Births",923,709,7,207,"Douglas County",2009
"207","Mercy Medical Center",917,704,6,207,"Douglas County",2009
"208","Home Birth (Planned)",5,4,1,0,"Douglas County",2009
"209","Other",1,1,0,0,"Douglas County",2009
"210","Total Births",49,38,0,11,"Grant County",2009
"211","Blue Mountain Hospital District",46,35,0,11,"Grant County",2009
"212","Home Birth (Planned)",2,2,0,0,"Grant County",2009
"213","Other",1,1,0,0,"Grant County",2009
"214","Total Births",63,34,0,29,"Harney County",2009
"215","Harney District Hospital",62,33,0,29,"Harney County",2009
"216","Home Birth (Planned)",1,1,0,0,"Harney County",2009
"217","Total Births",431,327,0,104,"Hood River County",2009
"218","Providence Hood River Memorial Hospital",419,315,0,104,"Hood River County",2009
"219","Home Birth (Planned)",11,11,0,0,"Hood River County",2009
"220","Other",1,1,0,0,"Hood River County",2009
"221","Total Births",2503,1665,16,822,"Jackson County",2009
"222","Ashland Community Hospital",331,229,14,88,"Jackson County",2009
"223","Providence Medford Medical Center",584,408,0,176,"Jackson County",2009
"224","Rogue Valley Medical Center",1547,987,2,558,"Jackson County",2009
"225","Home Birth (Planned)",37,37,0,0,"Jackson County",2009
"226","Other",4,4,0,0,"Jackson County",2009
"227","Total Births",202,147,1,54,"Jefferson County",2009
"228","Mountain View Hospital District",194,139,1,54,"Jefferson County",2009
"229","Home Birth (Planned)",5,5,0,0,"Jefferson County",2009
"230","Home Birth (Unplanned)",2,2,0,0,"Jefferson County",2009
"231","Other",1,1,0,0,"Jefferson County",2009
"232","Total Births",767,603,0,164,"Josephine County",2009
"233","Three Rivers Community Hospital",741,577,0,164,"Josephine County",2009
"234","Home Birth (Planned)",24,24,0,0,"Josephine County",2009
"235","Home Birth (Unplanned)",1,1,0,0,"Josephine County",2009
"236","Other",1,1,0,0,"Josephine County",2009
"237","Total Births",827,588,6,233,"Klamath County",2009
"238","Sky Lakes Medical Center",822,583,6,233,"Klamath County",2009
"239","Home Birth (Planned)",3,3,0,0,"Klamath County",2009
"240","Home Birth (Unplanned)",2,2,0,0,"Klamath County",2009
"241","Total Births",50,37,0,13,"Lake County",2009
"242","Lake District Hospital",49,36,0,13,"Lake County",2009
"243","Home Birth (Unplanned)",1,1,0,0,"Lake County",2009
"244","Total Births",3830,2525,69,1236,"Lane County",2009
"245","McKenzie-Willamette Medical Center",644,444,3,197,"Lane County",2009
"246","Peace Harbor Hospital",52,40,1,11,"Lane County",2009
"247","Sacred Heart Medical Center",1,1,0,0,"Lane County",2009
"248","Sacred Heart - River Bend",2986,1901,57,1028,"Lane County",2009
"249","Nurse Midwifery Birth Center",28,28,0,0,"Lane County",2009
"250","Sacred Waters Birthing Center",22,22,0,0,"Lane County",2009
"251","Home Birth (Planned)",92,84,8,0,"Lane County",2009
"252","Home Birth (Unplanned)",3,3,0,0,"Lane County",2009
"253","Other",2,2,0,0,"Lane County",2009
"254","Total Births",409,293,5,111,"Lincoln County",2009
"255","Samaritan North Lincoln Hospital",178,122,1,55,"Lincoln County",2009
"256","Samaritan Pacific Communities Hospital",189,132,1,56,"Lincoln County",2009
"257","Home Sweet Home Birth Center",21,20,1,0,"Lincoln County",2009
"258","Home Birth (Planned)",19,17,2,0,"Lincoln County",2009
"259","Other",2,2,0,0,"Lincoln County",2009
"260","Total Births",931,676,2,253,"Linn County",2009
"261","Samaritan Albany General Hospital",611,422,2,187,"Linn County",2009
"262","Samaritan Lebanon Community Hospital",279,213,0,66,"Linn County",2009
"263","Home Birth (Planned)",40,40,0,0,"Linn County",2009
"264","Home Birth (Unplanned)",1,1,0,0,"Linn County",2009
"265","Total Births",607,407,1,199,"Malheur County",2009
"266","Saint Alphonsus Medical Center - Ontario",605,405,1,199,"Malheur County",2009
"267","Home Birth (Planned)",2,2,0,0,"Malheur County",2009
"268","Total Births",5325,3864,58,1403,"Marion County",2009
"269","Salem Hospital",3241,2263,7,971,"Marion County",2009
"270","Santiam Memorial Hospital",140,92,0,48,"Marion County",2009
"271","Silverton Hospital",1878,1443,51,384,"Marion County",2009
"272","Home Birth (Planned)",61,61,0,0,"Marion County",2009
"273","Home Birth (Unplanned)",5,5,0,0,"Marion County",2009
"274","Total Births",2,2,0,0,"Morrow County",2009
"275","Home Birth (Planned)",2,2,0,0,"Morrow County",2009
"276","Total Births",10895,7113,294,3488,"Multnomah County",2009
"277","Adventist Medical Center",1187,797,0,390,"Multnomah County",2009
"278","Legacy Emanuel Hospital & Health Center",1815,1020,59,736,"Multnomah County",2009
"279","Legacy Good Samaritan Hospital & Medical Center",1208,843,11,354,"Multnomah County",2009
"280","Legacy Mt Hood Medical Center",1074,756,17,301,"Multnomah County",2009
"281","OHSU Hospitals & Clinics",2498,1489,168,841,"Multnomah County",2009
"282","Providence Portland Medical Center",2610,1719,25,866,"Multnomah County",2009
"283","Alma Midwifery Services",96,93,3,0,"Multnomah County",2009
"284","Andaluz Waterbirth Center - Portland",109,108,1,0,"Multnomah County",2009
"285","Natural Childbirth & Family Clinic",10,8,2,0,"Multnomah County",2009
"286","Freestanding Birth Center",1,1,0,0,"Multnomah County",2009
"287","Clinic/Doctor’s Office",1,1,0,0,"Multnomah County",2009
"288","Home Birth (Planned)",268,260,8,0,"Multnomah County",2009
"289","Home Birth (Unplanned)",10,10,0,0,"Multnomah County",2009
"290","Other",8,8,0,0,"Multnomah County",2009
"291","Total Births",16,15,1,0,"Polk County",2009
"292","Home Birth (Planned)",16,15,1,0,"Polk County",2009
"293","Total Births",1,1,0,0,"Sherman County",2009
"294","Home Birth (Planned)",1,1,0,0,"Sherman County",2009
"295","Total Births",175,113,1,61,"Tillamook County",2009
"296","General Hospital",166,104,1,61,"Tillamook County",2009
"297","Home Birth (Planned)",7,7,0,0,"Tillamook County",2009
"298","Other",2,2,0,0,"Tillamook County",2009
"299","Total Births",819,581,1,237,"Umatilla County",2009
"300","Good Shepherd Medical Center",512,346,1,165,"Umatilla County",2009
"301","St Anthony Hospital",297,225,0,72,"Umatilla County",2009
"302","Home Birth (Planned)",9,9,0,0,"Umatilla County",2009
"303","Other",1,1,0,0,"Umatilla County",2009
"304","Total Births",303,207,0,96,"Union County",2009
"305","Grande Ronde Hospital",287,191,0,96,"Union County",2009
"306","Home Birth (Planned)",15,15,0,0,"Union County",2009
"307","Home Birth (Unplanned)",1,1,0,0,"Union County",2009
"308","Total Births",48,34,0,14,"Wallowa County",2009
"309","Wallowa Memorial Hospital",47,33,0,14,"Wallowa County",2009
"310","Home Birth (Planned)",1,1,0,0,"Wallowa County",2009
"311","Total Births",322,207,1,114,"Wasco County",2009
"312","Mid-Columbia Medical Center",315,200,1,114,"Wasco County",2009
"313","Home Birth (Planned)",6,6,0,0,"Wasco County",2009
"314","Other",1,1,0,0,"Wasco County",2009
"315","Total Births",7595,4956,143,2496,"Washington County",2009
"316","Providence St Vincent Medical Center",6179,3869,121,2189,"Washington County",2009
"317","Tuality Community Hospital - Hillsboro",1295,970,19,306,"Washington County",2009
"318","Andaluz Waterbirth Center - Tualatin",50,50,0,0,"Washington County",2009
"319","Home Birth (Planned)",63,60,3,0,"Washington County",2009
"320","Home Birth (Unplanned)",6,5,0,1,"Washington County",2009
"321","Other",2,2,0,0,"Washington County",2009
"322","Total Births",3,3,0,0,"Wheeler County",2009
"323","Home Birth (Planned)",2,2,0,0,"Wheeler County",2009
"324","Other",1,1,0,0,"Wheeler County",2009
"325","Total Births",1352,993,7,352,"Yamhill County",2009
"326","Providence Newberg Medical Center",618,433,0,185,"Yamhill County",2009
"327","Willamette Valley Medical Center",661,489,5,167,"Yamhill County",2009
"328","Bella Vie Gentle Birth Center",53,52,1,0,"Yamhill County",2009
"329","Home Birth (Planned)",18,18,0,0,"Yamhill County",2009
"330","Other",2,1,1,0,"Yamhill County",2009
"331","Total Births",45904,31536,856,13511,"State Total",2010
"332","Total Births",130,93,2,35,"Baker County",2010
"333","Saint Alphonsus Medical Center - Baker City",120,85,0,35,"Baker County",2010
"334","Home Birth (Planned)",10,8,2,0,"Baker County",2010
"335","Total Births",1099,801,37,261,"Benton County",2010
"336","Good Samaritan Regional Medical Center",1051,755,35,261,"Benton County",2010
"337","Home Birth (Planned)",48,46,2,0,"Benton County",2010
"338","Total Births",4342,3154,73,1115,"Clackamas County",2010
"339","Kaiser Sunnyside Medical Center",1725,1316,41,368,"Clackamas County",2010
"340","Legacy Meridian Park Hospital",958,612,18,328,"Clackamas County",2010
"341","Providence Milwaukie Hospital",579,420,0,159,"Clackamas County",2010
"342","Providence Willamette Falls Medical Center",990,722,8,260,"Clackamas County",2010
"343","Home Birth (Planned)",82,76,6,0,"Clackamas County",2010
"344","Home Birth (Unplanned)",3,3,0,0,"Clackamas County",2010
"345","Other",5,5,0,0,"Clackamas County",2010
"346","Total Births",478,347,2,129,"Clatsop County",2010
"347","Columbia Memorial Hospital",348,251,1,96,"Clatsop County",2010
"348","Providence Seaside Hospital",125,92,0,33,"Clatsop County",2010
"349","Home Birth (Planned)",4,3,1,0,"Clatsop County",2010
"350","Other",1,1,0,0,"Clatsop County",2010
"351","Total Births",11,11,0,0,"Columbia County",2010
"352","Home Birth (Planned)",11,11,0,0,"Columbia County",2010
"353","Total Births",718,523,11,184,"Coos County",2010
"354","Bay Area Hospital",679,488,11,180,"Coos County",2010
"355","Coquille Valley Hospital",28,24,0,4,"Coos County",2010
"356","Home Birth (Planned)",10,10,0,0,"Coos County",2010
"357","Other",1,1,0,0,"Coos County",2010
"358","Total Births",1,1,0,0,"Crook County",2010
"359","Pioneer Memorial Hospital (Prineville)",1,1,0,0,"Crook County",2010
"360","Total Births",68,55,0,13,"Curry County",2010
"361","Curry General Hospital",61,48,0,13,"Curry County",2010
"362","Home Birth (Planned)",7,7,0,0,"Curry County",2010
"363","Total Births",2055,1490,25,540,"Deschutes County",2010
"364","St Charles Medical Center - Bend",1665,1176,23,466,"Deschutes County",2010
"365","St Charles Medical Center - Redmond",295,220,1,74,"Deschutes County",2010
"366","Bend Birth Center",8,8,0,0,"Deschutes County",2010
"367","Motherwise Community Birth Center",44,44,0,0,"Deschutes County",2010
"368","Home Birth (Planned)",38,37,1,0,"Deschutes County",2010
"369","Other",5,5,0,0,"Deschutes County",2010
"370","Total Births",879,637,11,231,"Douglas County",2010
"371","Mercy Medical Center",864,624,9,231,"Douglas County",2010
"372","Home Birth (Planned)",15,13,2,0,"Douglas County",2010
"373","Total Births",51,33,0,18,"Grant County",2010
"374","Blue Mountain Hospital District",44,26,0,18,"Grant County",2010
"375","Home Birth (Planned)",4,4,0,0,"Grant County",2010
"376","Other",3,3,0,0,"Grant County",2010
"377","Total Births",58,38,0,20,"Harney County",2010
"378","Harney District Hospital",56,36,0,20,"Harney County",2010
"379","Home Birth (Planned)",2,2,0,0,"Harney County",2010
"380","Total Births",427,317,0,110,"Hood River County",2010
"381","Providence Hood River Memorial Hospital",422,312,0,110,"Hood River County",2010
"382","Home Birth (Planned)",5,5,0,0,"Hood River County",2010
"383","Total Births",2454,1615,16,823,"Jackson County",2010
"384","Ashland Community Hospital",313,210,8,95,"Jackson County",2010
"385","Providence Medford Medical Center",543,378,2,163,"Jackson County",2010
"386","Rogue Valley Medical Center",1538,969,4,565,"Jackson County",2010
"387","Home Birth (Planned)",58,56,2,0,"Jackson County",2010
"388","Home Birth (Unplanned)",1,1,0,0,"Jackson County",2010
"389","Other",1,1,0,0,"Jackson County",2010
"390","Total Births",181,130,0,51,"Jefferson County",2010
"391","Mountain View Hospital District",174,123,0,51,"Jefferson County",2010
"392","Home Birth (Planned)",4,4,0,0,"Jefferson County",2010
"393","Home Birth (Unplanned)",2,2,0,0,"Jefferson County",2010
"394","Other",1,1,0,0,"Jefferson County",2010
"395","Total Births",767,611,3,153,"Josephine County",2010
"396","Three Rivers Community Hospital",727,573,1,153,"Josephine County",2010
"397","Home Birth (Planned)",34,32,2,0,"Josephine County",2010
"398","Home Birth (Unplanned)",2,2,0,0,"Josephine County",2010
"399","Other",4,4,0,0,"Josephine County",2010
"400","Total Births",835,622,6,207,"Klamath County",2010
"401","Sky Lakes Medical Center",832,619,6,207,"Klamath County",2010
"402","Home Birth (Planned)",3,3,0,0,"Klamath County",2010
"403","Total Births",67,50,0,17,"Lake County",2010
"404","Lake District Hospital",65,48,0,17,"Lake County",2010
"405","Home Birth (Unplanned)",2,2,0,0,"Lake County",2010
"406","Total Births",3765,2478,71,1216,"Lane County",2010
"407","McKenzie-Willamette Medical Center",595,413,4,178,"Lane County",2010
"408","Peace Harbor Hospital",67,46,0,21,"Lane County",2010
"409","Sacred Heart Medical Center",1,1,0,0,"Lane County",2010
"410","Sacred Heart - River Bend",2894,1816,61,1017,"Lane County",2010
"411","Nurse Midwifery Birth Center",83,83,0,0,"Lane County",2010
"412","Sacred Waters Birthing Center",18,18,0,0,"Lane County",2010
"413","Home Birth (Planned)",102,96,6,0,"Lane County",2010
"414","Home Birth (Unplanned)",1,1,0,0,"Lane County",2010
"415","Other",4,4,0,0,"Lane County",2010
"416","Total Births",385,265,2,118,"Lincoln County",2010
"417","Samaritan North Lincoln Hospital",150,97,0,53,"Lincoln County",2010
"418","Samaritan Pacific Communities Hospital",211,145,1,65,"Lincoln County",2010
"419","Home Sweet Home Birth Center",7,6,1,0,"Lincoln County",2010
"420","Home Birth (Planned)",15,15,0,0,"Lincoln County",2010
"421","Other",2,2,0,0,"Lincoln County",2010
"422","Total Births",949,710,9,230,"Linn County",2010
"423","Samaritan Albany General Hospital",643,460,6,177,"Linn County",2010
"424","Samaritan Lebanon Community Hospital",265,212,0,53,"Linn County",2010
"425","Home Birth (Planned)",39,36,3,0,"Linn County",2010
"426","Home Birth (Unplanned)",1,1,0,0,"Linn County",2010
"427","Other",1,1,0,0,"Linn County",2010
"428","Total Births",627,403,0,224,"Malheur County",2010
"429","Saint Alphonsus Medical Center - Ontario",623,399,0,224,"Malheur County",2010
"430","Home Birth (Planned)",4,4,0,0,"Malheur County",2010
"431","Total Births",5257,3784,65,1408,"Marion County",2010
"432","Salem Hospital",3307,2277,9,1021,"Marion County",2010
"433","Santiam Memorial Hospital",107,76,0,31,"Marion County",2010
"434","Silverton Hospital",1773,1365,52,356,"Marion County",2010
"435","Clinic/Doctor’s Office",1,1,0,0,"Marion County",2010
"436","Home Birth (Planned)",57,54,3,0,"Marion County",2010
"437","Home Birth (Unplanned)",10,10,0,0,"Marion County",2010
"438","Other",2,1,1,0,"Marion County",2010
"439","Total Births",3,3,0,0,"Morrow County",2010
"440","Pioneer Memorial Hospital (Heppner)",1,1,0,0,"Morrow County",2010
"441","Home Birth (Planned)",1,1,0,0,"Morrow County",2010
"442","Home Birth (Unplanned)",1,1,0,0,"Morrow County",2010
"443","Total Births",10453,6784,352,3316,"Multnomah County",2010
"444","Adventist Medical Center",1125,784,3,338,"Multnomah County",2010
