facility,total,vaginal,vbac,cesarean,county,year
Rogue Valley Medical Center,1567,1028,1,538,Jackson County,2008
Home Birth (Planned),40,39,1,0,Jackson County,2008
Home Birth (Unplanned),2,2,0,0,Jackson County,2008
Other,2,2,0,0,Jackson County,2008
Total Births,255,192,0,63,Jefferson County,2008
Mountain View Hospital District,249,186,0,63,Jefferson County,2008
Home Birth (Planned),5,5,0,0,Jefferson County,2008
Other,1,1,0,0,Jefferson County,2008
Total Births,862,664,3,195,Josephine County,2008
Three Rivers Community Hospital,842,646,1,195,Josephine County,2008
Home Birth (Planned),17,15,2,0,Josephine County,2008
Home Birth (Unplanned),2,2,0,0,Josephine County,2008
Other,1,1,0,0,Josephine County,2008
Total Births,889,620,3,266,Klamath County,2008
Sky Lakes Medical Center,889,620,3,266,Klamath County,2008
Total Births,60,45,0,15,Lake County,2008
Lake District Hospital,60,45,0,15,Lake County,2008
Total Births,4084,2787,32,1263,Lane County,2008
McKenzie-Willamette Medical Center,825,577,1,246,Lane County,2008
Peace Harbor Hospital,69,50,0,19,Lane County,2008
Sacred Heart Medical Center,1770,1162,12,595,Lane County,2008
Sacred Heart - River Bend,1182,770,9,403,Lane County,2008
Nurse Midwifery Birth Center,108,108,0,0,Lane County,2008
Sacred Waters Birthing Center,16,16,0,0,Lane County,2008
Home Birth (Planned),108,98,10,0,Lane County,2008
Home Birth (Unplanned),2,2,0,0,Lane County,2008
Other,4,4,0,0,Lane County,2008
Total Births,404,286,2,116,Lincoln County,2008
Samaritan North Lincoln Hospital,172,124,1,47,Lincoln County,2008
Samaritan Pacific Communities Hospital,191,121,1,69,Lincoln County,2008
Home Sweet Home Birth Center,25,25,0,0,Lincoln County,2008
Home Birth (Planned),15,15,0,0,Lincoln County,2008
Home Birth (Unplanned),1,1,0,0,Lincoln County,2008
Total Births,981,701,11,269,Linn County,2008
Samaritan Albany General Hospital,688,474,4,210,Linn County,2008
Samaritan Lebanon Community Hospital,265,204,2,59,Linn County,2008
Home Birth (Planned),24,21,3,0,Linn County,2008
Home Birth (Unplanned),3,2,1,0,Linn County,2008
Other,1,0,1,0,Linn County,2008
Total Births,694,480,2,212,Malheur County,2008
Saint Alphonsus Medical Center - Ontario,688,474,2,212,Malheur County,2008
Home Birth (Planned),6,6,0,0,Malheur County,2008
Total Births,5666,4158,49,1459,Marion County,2008
Salem Hospital,3510,2427,8,1075,Marion County,2008
Santiam Memorial Hospital,162,103,0,59,Marion County,2008
Silverton Hospital,1928,1565,38,325,Marion County,2008
Home Birth (Planned),55,52,3,0,Marion County,2008
Home Birth (Unplanned),7,7,0,0,Marion County,2008
Other,4,4,0,0,Marion County,2008
Total Births,3,3,0,0,Morrow County,2008
Home Birth (Planned),3,3,0,0,Morrow County,2008
Total Births,11027,7244,240,3540,Multnomah County,2008
Adventist Medical Center,1181,803,7,371,Multnomah County,2008
Legacy Emanuel Hospital & Health Center,1715,942,61,712,Multnomah County,2008
Legacy Good Samaritan Hospital & Medical Center,1262,890,11,361,Multnomah County,2008
Legacy Mt Hood Medical Center,1183,871,12,300,Multnomah County,2008
OHSU Hospitals & Clinics,2691,1648,120,920,Multnomah County,2008
Providence Portland Medical Center,2620,1723,21,876,Multnomah County,2008
Alma Midwifery Services,59,57,2,0,Multnomah County,2008
Andaluz Waterbirth Center - Portland,3,3,0,0,Multnomah County,2008
Natural Childbirth & Family Clinic,24,24,0,0,Multnomah County,2008
Clinic/Doctor's Office,2,2,0,0,Multnomah County,2008
Home Birth (Planned),271,265,6,0,Multnomah County,2008
Home Birth (Unplanned),10,10,0,0,Multnomah County,2008
Other,6,6,0,0,Multnomah County,2008
Total Births,14,14,0,0,Polk County,2008
Home Birth (Planned),14,14,0,0,Polk County,2008
Total Births,1,1,0,0,Sherman County,2008
Home Birth (Planned),1,1,0,0,Sherman County,2008
Total Births,164,119,0,45,Tillamook County,2008
General Hospital,160,115,0,45,Tillamook County,2008
Home Birth (Planned),4,4,0,0,Tillamook County,2008
Total Births,866,590,4,272,Umatilla County,2008
Good Shepherd Medical Center,556,355,2,199,Umatilla County,2008
St Anthony Hospital,302,227,2,73,Umatilla County,2008
Home Birth (Planned),7,7,0,0,Umatilla County,2008
Home Birth (Unplanned),1,1,0,0,Umatilla County,2008
Total Births,316,222,0,94,Union County,2008
Grande Ronde Hospital,300,206,0,94,Union County,2008
Home Birth (Planned),15,15,0,0,Union County,2008
Home Birth (Unplanned),1,1,0,0,Union County,2008
Total Births,61,39,0,22,Wallowa County,2008
Wallowa Memorial Hospital,60,38,0,22,Wallowa County,2008
Home Birth (Planned),1,1,0,0,Wallowa County,2008
Total Births,327,206,1,120,Wasco County,2008
Mid-Columbia Medical Center,321,201,0,120,Wasco County,2008
Home Birth (Planned),4,3,1,0,Wasco County,2008
Home Birth (Unplanned),1,1,0,0,Wasco County,2008
Other,1,1,0,0,Wasco County,2008
Total Births,7689,5096,186,2407,Washington County,2008
Providence St Vincent Medical Center,6145,3875,152,2118,Washington County,2008
Tuality Community Hospital - Hillsboro,1348,1037,22,289,Washington County,2008
Andaluz Waterbirth Center - Tualatin,126,119,7,0,Washington County,2008
Home Birth (Planned),59,55,4,0,Washington County,2008
Home Birth (Unplanned),5,5,0,0,Washington County,2008
Other,6,5,1,0,Washington County,2008
Total Births,1,1,0,0,Wheeler County,2008
Home Birth (Planned),1,1,0,0,Wheeler County,2008
Total Births,1326,954,9,363,Yamhill County,2008
Providence Newberg Medical Center,593,428,1,164,Yamhill County,2008
Willamette Valley Medical Center,671,466,6,199,Yamhill County,2008
Bella Vie Gentle Birth Center,44,42,2,0,Yamhill County,2008
Home Birth (Planned),17,17,0,0,Yamhill County,2008
Home Birth (Unplanned),1,1,0,0,Yamhill County,2008
Total Births,47685,32833,769,14083,State Total,2009
Total Births,119,91,1,27,Baker County,2009
Saint Alphonsus Medical Center - Baker City,113,85,1,27,Baker County,2009
Home Birth (Planned),6,6,0,0,Baker County,2009
Total Births,1134,854,33,247,Benton County,2009
Good Samaritan Regional Medical Center,1104,827,30,247,Benton County,2009
Home Birth (Planned),29,27,2,0,Benton County,2009
Other,1,0,1,0,Benton County,2009
Total Births,4545,3297,74,1174,Clackamas County,2009
Kaiser Sunnyside Medical Center,1700,1306,35,359,Clackamas County,2009
Legacy Meridian Park Hospital,1097,672,20,405,Clackamas County,2009
Providence Milwaukie Hospital,655,479,2,174,Clackamas County,2009
Providence Willamette Falls Medical Center,1002,751,15,236,Clackamas County,2009
Home Birth (Planned),84,82,2,0,Clackamas County,2009
Home Birth (Unplanned),2,2,0,0,Clackamas County,2009
Other,5,5,0,0,Clackamas County,2009
Total Births,431,306,1,124,Clatsop County,2009
Columbia Memorial Hospital,315,222,0,93,Clatsop County,2009
Providence Seaside Hospital,107,75,1,31,Clatsop County,2009
Home Birth (Planned),7,7,0,0,Clatsop County,2009
Home Birth (Unplanned),2,2,0,0,Clatsop County,2009
Total Births,14,14,0,0,Columbia County,2009
Home Birth (Planned),14,14,0,0,Columbia County,2009
Total Births,690,469,12,209,Coos County,2009
Bay Area Hospital,647,432,10,205,Coos County,2009
Coquille Valley Hospital,35,31,0,4,Coos County,2009
Home Birth (Planned),6,4,2,0,Coos County,2009
Home Birth (Unplanned),2,2,0,0,Coos County,2009
Total Births,119,90,0,29,Crook County,2009
Pioneer Memorial Hospital (Prineville),116,88,0,28,Crook County,2009
St Charles Medical Center - Bend,2,1,0,1,Crook County,2009
Home Birth (Planned),1,1,0,0,Crook County,2009
Total Births,50,42,0,8,Curry County,2009
Curry General Hospital,47,39,0,8,Curry County,2009
Home Birth (Planned),3,3,0,0,Curry County,2009
Total Births,2135,1532,35,568,Deschutes County,2009
St Charles Medical Center - Bend,1801,1268,32,501,Deschutes County,2009
St Charles Medical Center - Redmond,255,188,0,67,Deschutes County,2009
Bend Birth Center,13,13,0,0,Deschutes County,2009
Motherwise Community Birth Center,37,36,1,0,Deschutes County,2009
Home Birth (Planned),26,25,1,0,Deschutes County,2009
Home Birth (Unplanned),2,1,1,0,Deschutes County,2009
Other,1,1,0,0,Deschutes County,2009
Total Births,923,709,7,207,Douglas County,2009
Mercy Medical Center,917,704,6,207,Douglas County,2009
Home Birth (Planned),5,4,1,0,Douglas County,2009
Other,1,1,0,0,Douglas County,2009
Total Births,49,38,0,11,Grant County,2009
Blue Mountain Hospital District,46,35,0,11,Grant County,2009
Home Birth (Planned),2,2,0,0,Grant County,2009
Other,1,1,0,0,Grant County,2009
Total Births,63,34,0,29,Harney County,2009
Harney District Hospital,62,33,0,29,Harney County,2009
Home Birth (Planned),1,1,0,0,Harney County,2009
Total Births,431,327,0,104,Hood River County,2009
Providence Hood River Memorial Hospital,419,315,0,104,Hood River County,2009
Home Birth (Planned),11,11,0,0,Hood River County,2009
Other,1,1,0,0,Hood River County,2009
Total Births,2503,1665,16,822,Jackson County,2009
Ashland Community Hospital,331,229,14,88,Jackson County,2009
Providence Medford Medical Center,584,408,0,176,Jackson County,2009
Rogue Valley Medical Center,1547,987,2,558,Jackson County,2009
Home Birth (Planned),37,37,0,0,Jackson County,2009
Other,4,4,0,0,Jackson County,2009
Total Births,202,147,1,54,Jefferson County,2009
Mountain View Hospital District,194,139,1,54,Jefferson County,2009
Home Birth (Planned),5,5,0,0,Jefferson County,2009
Home Birth (Unplanned),2,2,0,0,Jefferson County,2009
Other,1,1,0,0,Jefferson County,2009
Total Births,767,603,0,164,Josephine County,2009
Three Rivers Community Hospital,741,577,0,164,Josephine County,2009
Home Birth (Planned),24,24,0,0,Josephine County,2009
Home Birth (Unplanned),1,1,0,0,Josephine County,2009
Other,1,1,0,0,Josephine County,2009
Total Births,827,588,6,233,Klamath County,2009
Sky Lakes Medical Center,822,583,6,233,Klamath County,2009
Home Birth (Planned),3,3,0,0,Klamath County,2009
Home Birth (Unplanned),2,2,0,0,Klamath County,2009
Total Births,50,37,0,13,Lake County,2009
Lake District Hospital,49,36,0,13,Lake County,2009
Home Birth (Unplanned),1,1,0,0,Lake County,2009
Total Births,3830,2525,69,1236,Lane County,2009
McKenzie-Willamette Medical Center,644,444,3,197,Lane County,2009
Peace Harbor Hospital,52,40,1,11,Lane County,2009
Sacred Heart Medical Center,1,1,0,0,Lane County,2009
Sacred Heart - River Bend,2986,1901,57,1028,Lane County,2009
Nurse Midwifery Birth Center,28,28,0,0,Lane County,2009
Sacred Waters Birthing Center,22,22,0,0,Lane County,2009
Home Birth (Planned),92,84,8,0,Lane County,2009
Home Birth (Unplanned),3,3,0,0,Lane County,2009
Other,2,2,0,0,Lane County,2009
Total Births,409,293,5,111,Lincoln County,2009
Samaritan North Lincoln Hospital,178,122,1,55,Lincoln County,2009
Samaritan Pacific Communities Hospital,189,132,1,56,Lincoln County,2009
Home Sweet Home Birth Center,21,20,1,0,Lincoln County,2009
Home Birth (Planned),19,17,2,0,Lincoln County,2009
Other,2,2,0,0,Lincoln County,2009
Total Births,931,676,2,253,Linn County,2009
Samaritan Albany General Hospital,611,422,2,187,Linn County,2009
Samaritan Lebanon Community Hospital,279,213,0,66,Linn County,2009
Home Birth (Planned),40,40,0,0,Linn County,2009
Home Birth (Unplanned),1,1,0,0,Linn County,2009
Total Births,607,407,1,199,Malheur County,2009
Saint Alphonsus Medical Center - Ontario,605,405,1,199,Malheur County,2009
Home Birth (Planned),2,2,0,0,Malheur County,2009
Total Births,5325,3864,58,1403,Marion County,2009
Salem Hospital,3241,2263,7,971,Marion County,2009
Santiam Memorial Hospital,140,92,0,48,Marion County,2009
Silverton Hospital,1878,1443,51,384,Marion County,2009
Home Birth (Planned),61,61,0,0,Marion County,2009
Home Birth (Unplanned),5,5,0,0,Marion County,2009
Total Births,2,2,0,0,Morrow County,2009
Home Birth (Planned),2,2,0,0,Morrow County,2009
Total Births,10895,7113,294,3488,Multnomah County,2009
Adventist Medical Center,1187,797,0,390,Multnomah County,2009
Legacy Emanuel Hospital & Health Center,1815,1020,59,736,Multnomah County,2009
Legacy Good Samaritan Hospital & Medical Center,1208,843,11,354,Multnomah County,2009
Legacy Mt Hood Medical Center,1074,756,17,301,Multnomah County,2009
OHSU Hospitals & Clinics,2498,1489,168,841,Multnomah County,2009
Providence Portland Medical Center,2610,1719,25,866,Multnomah County,2009
Alma Midwifery Services,96,93,3,0,Multnomah County,2009
Andaluz Waterbirth Center - Portland,109,108,1,0,Multnomah County,2009
Natural Childbirth & Family Clinic,10,8,2,0,Multnomah County,2009
Freestanding Birth Center,1,1,0,0,Multnomah County,2009
Clinic/Doctor's Office,1,1,0,0,Multnomah County,2009
Home Birth (Planned),268,260,8,0,Multnomah County,2009
Home Birth (Unplanned),10,10,0,0,Multnomah County,2009
Other,8,8,0,0,Multnomah County,2009
Total Births,16,15,1,0,Polk County,2009
Home Birth (Planned),16,15,1,0,Polk County,2009
Total Births,1,1,0,0,Sherman County,2009
Home Birth (Planned),1,1,0,0,Sherman County,2009
Total Births,175,113,1,61,Tillamook County,2009
General Hospital,166,104,1,61,Tillamook County,2009
Home Birth (Planned),7,7,0,0,Tillamook County,2009
Other,2,2,0,0,Tillamook County,2009
Total Births,819,581,1,237,Umatilla County,2009
Good Shepherd Medical Center,512,346,1,165,Umatilla County,2009
St Anthony Hospital,297,225,0,72,Umatilla County,2009
Home Birth (Planned),9,9,0,0,Umatilla County,2009
Other,1,1,0,0,Umatilla County,2009
Total Births,303,207,0,96,Union County,2009
Grande Ronde Hospital,287,191,0,96,Union County,2009
Home Birth (Planned),15,15,0,0,Union County,2009
Home Birth (Unplanned),1,1,0,0,Union County,2009
Total Births,48,34,0,14,Wallowa County,2009
Wallowa Memorial Hospital,47,33,0,14,Wallowa County,2009
Home Birth (Planned),1,1,0,0,Wallowa County,2009
Total Births,322,207,1,114,Wasco County,2009
Mid-Columbia Medical Center,315,200,1,114,Wasco County,2009
Home Birth (Planned),6,6,0,0,Wasco County,2009
Other,1,1,0,0,Wasco County,2009
Total Births,7595,4956,143,2496,Washington County,2009
Providence St Vincent Medical Center,6179,3869,121,2189,Washington County,2009
Tuality Community Hospital - Hillsboro,1295,970,19,306,Washington County,2009
Andaluz Waterbirth Center - Tualatin,50,50,0,0,Washington County,2009
Home Birth (Planned),63,60,3,0,Washington County,2009
Home Birth (Unplanned),6,5,0,1,Washington County,2009
Other,2,2,0,0,Washington County,2009
Total Births,3,3,0,0,Wheeler County,2009
Home Birth (Planned),2,2,0,0,Wheeler County,2009
Other,1,1,0,0,Wheeler County,2009
Total Births,1352,993,7,352,Yamhill County,2009
Providence Newberg Medical Center,618,433,0,185,Yamhill County,2009
Willamette Valley Medical Center,661,489,5,167,Yamhill County,2009
Bella Vie Gentle Birth Center,53,52,1,0,Yamhill County,2009
Home Birth (Planned),18,18,0,0,Yamhill County,2009
Other,2,1,1,0,Yamhill County,2009
Total Births,45904,31536,856,13511,State Total,2010
Total Births,130,93,2,35,Baker County,2010
Saint Alphonsus Medical Center - Baker City,120,85,0,35,Baker County,2010
Home Birth (Planned),10,8,2,0,Baker County,2010
Total Births,1099,801,37,261,Benton County,2010
Good Samaritan Regional Medical Center,1051,755,35,261,Benton County,2010
Home Birth (Planned),48,46,2,0,Benton County,2010
Total Births,4342,3154,73,1115,Clackamas County,2010
Kaiser Sunnyside Medical Center,1725,1316,41,368,Clackamas County,2010
Legacy Meridian Park Hospital,958,612,18,328,Clackamas County,2010
Providence Milwaukie Hospital,579,420,0,159,Clackamas County,2010
Providence Willamette Falls Medical Center,990,722,8,260,Clackamas County,2010
Home Birth (Planned),82,76,6,0,Clackamas County,2010
Home Birth (Unplanned),3,3,0,0,Clackamas County,2010
Other,5,5,0,0,Clackamas County,2010
Total Births,478,347,2,129,Clatsop County,2010
Columbia Memorial Hospital,348,251,1,96,Clatsop County,2010
Providence Seaside Hospital,125,92,0,33,Clatsop County,2010
Home Birth (Planned),4,3,1,0,Clatsop County,2010
Other,1,1,0,0,Clatsop County,2010
Total Births,11,11,0,0,Columbia County,2010
Home Birth (Planned),11,11,0,0,Columbia County,2010
Total Births,718,523,11,184,Coos County,2010
Bay Area Hospital,679,488,11,180,Coos County,2010
Coquille Valley Hospital,28,24,0,4,Coos County,2010
Home Birth (Planned),10,10,0,0,Coos County,2010
Other,1,1,0,0,Coos County,2010
Total Births,1,1,0,0,Crook County,2010
Pioneer Memorial Hospital (Prineville),1,1,0,0,Crook County,2010
Total Births,68,55,0,13,Curry County,2010
Curry General Hospital,61,48,0,13,Curry County,2010
Home Birth (Planned),7,7,0,0,Curry County,2010
Total Births,2055,1490,25,540,Deschutes County,2010
St Charles Medical Center - Bend,1665,1176,23,466,Deschutes County,2010
St Charles Medical Center - Redmond,295,220,1,74,Deschutes County,2010
Bend Birth Center,8,8,0,0,Deschutes County,2010
Motherwise Community Birth Center,44,44,0,0,Deschutes County,2010
Home Birth (Planned),38,37,1,0,Deschutes County,2010
Other,5,5,0,0,Deschutes County,2010
Total Births,879,637,11,231,Douglas County,2010
Mercy Medical Center,864,624,9,231,Douglas County,2010
Home Birth (Planned),15,13,2,0,Douglas County,2010
Total Births,51,33,0,18,Grant County,2010
Blue Mountain Hospital District,44,26,0,18,Grant County,2010
Home Birth (Planned),4,4,0,0,Grant County,2010
Other,3,3,0,0,Grant County,2010
Total Births,58,38,0,20,Harney County,2010
Harney District Hospital,56,36,0,20,Harney County,2010
Home Birth (Planned),2,2,0,0,Harney County,2010
Total Births,427,317,0,110,Hood River County,2010
Providence Hood River Memorial Hospital,422,312,0,110,Hood River County,2010
Home Birth (Planned),5,5,0,0,Hood River County,2010
Total Births,2454,1615,16,823,Jackson County,2010
Ashland Community Hospital,313,210,8,95,Jackson County,2010
Providence Medford Medical Center,543,378,2,163,Jackson County,2010
Rogue Valley Medical Center,1538,969,4,565,Jackson County,2010
Home Birth (Planned),58,56,2,0,Jackson County,2010
Home Birth (Unplanned),1,1,0,0,Jackson County,2010
Other,1,1,0,0,Jackson County,2010
Total Births,181,130,0,51,Jefferson County,2010
Mountain View Hospital District,174,123,0,51,Jefferson County,2010
Home Birth (Planned),4,4,0,0,Jefferson County,2010
Home Birth (Unplanned),2,2,0,0,Jefferson County,2010
Other,1,1,0,0,Jefferson County,2010
Total Births,767,611,3,153,Josephine County,2010
Three Rivers Community Hospital,727,573,1,153,Josephine County,2010
Home Birth (Planned),34,32,2,0,Josephine County,2010
Home Birth (Unplanned),2,2,0,0,Josephine County,2010
Other,4,4,0,0,Josephine County,2010
Total Births,835,622,6,207,Klamath County,2010
Sky Lakes Medical Center,832,619,6,207,Klamath County,2010
Home Birth (Planned),3,3,0,0,Klamath County,2010
Total Births,67,50,0,17,Lake County,2010
Lake District Hospital,65,48,0,17,Lake County,2010
Home Birth (Unplanned),2,2,0,0,Lake County,2010
Total Births,3765,2478,71,1216,Lane County,2010
McKenzie-Willamette Medical Center,595,413,4,178,Lane County,2010
Peace Harbor Hospital,67,46,0,21,Lane County,2010
Sacred Heart Medical Center,1,1,0,0,Lane County,2010
Sacred Heart - River Bend,2894,1816,61,1017,Lane County,2010
Nurse Midwifery Birth Center,83,83,0,0,Lane County,2010
Sacred Waters Birthing Center,18,18,0,0,Lane County,2010
Home Birth (Planned),102,96,6,0,Lane County,2010
Home Birth (Unplanned),1,1,0,0,Lane County,2010
Other,4,4,0,0,Lane County,2010
Total Births,385,265,2,118,Lincoln County,2010
Samaritan North Lincoln Hospital,150,97,0,53,Lincoln County,2010
Samaritan Pacific Communities Hospital,211,145,1,65,Lincoln County,2010
Home Sweet Home Birth Center,7,6,1,0,Lincoln County,2010
Home Birth (Planned),15,15,0,0,Lincoln County,2010
Other,2,2,0,0,Lincoln County,2010
Total Births,949,710,9,230,Linn County,2010
Samaritan Albany General Hospital,643,460,6,177,Linn County,2010
Samaritan Lebanon Community Hospital,265,212,0,53,Linn County,2010
Home Birth (Planned),39,36,3,0,Linn County,2010
Home Birth (Unplanned),1,1,0,0,Linn County,2010
Other,1,1,0,0,Linn County,2010
Total Births,627,403,0,224,Malheur County,2010
Saint Alphonsus Medical Center - Ontario,623,399,0,224,Malheur County,2010
Home Birth (Planned),4,4,0,0,Malheur County,2010
Total Births,5257,3784,65,1408,Marion County,2010
Salem Hospital,3307,2277,9,1021,Marion County,2010
Santiam Memorial Hospital,107,76,0,31,Marion County,2010
Silverton Hospital,1773,1365,52,356,Marion County,2010
Clinic/Doctor's Office,1,1,0,0,Marion County,2010
Home Birth (Planned),57,54,3,0,Marion County,2010
Home Birth (Unplanned),10,10,0,0,Marion County,2010
Other,2,1,1,0,Marion County,2010
Total Births,3,3,0,0,Morrow County,2010
Pioneer Memorial Hospital (Heppner),1,1,0,0,Morrow County,2010
Home Birth (Planned),1,1,0,0,Morrow County,2010
Home Birth (Unplanned),1,1,0,0,Morrow County,2010
Total Births,10453,6784,352,3316,Multnomah County,2010
Adventist Medical Center,1125,784,3,338,Multnomah County,2010
Legacy Emanuel Hospital & Health Center,1808,958,84,766,Multnomah County,2010
Legacy Good Samaritan Hospital & Medical Center,1146,789,14,343,Multnomah County,2010
Legacy Mt Hood Medical Center,1012,738,23,251,Multnomah County,2010
OHSU Hospitals & Clinics,2326,1398,171,757,Multnomah County,2010
Providence Portland Medical Center,2499,1607,31,861,Multnomah County,2010
Alma Midwifery Services,102,100,2,0,Multnomah County,2010
Andaluz Waterbirth Center - Portland,137,131,6,0,Multnomah County,2010
Natural Childbirth & Family Clinic,16,15,1,0,Multnomah County,2010
Home Birth (Planned),264,247,17,0,Multnomah County,2010
Home Birth (Unplanned),9,9,0,0,Multnomah County,2010
Other,9,8,0,0,Multnomah County,2010
Total Births,9,9,0,0,Polk County,2010
Home Birth (Planned),8,8,0,0,Polk County,2010
Home Birth (Unplanned),1,1,0,0,Polk County,2010
Total Births,2,2,0,0,Sherman County,2010
Home Birth (Planned),2,2,0,0,Sherman County,2010
Total Births,171,111,1,59,Tillamook County,2010
General Hospital,163,103,1,59,Tillamook County,2010
Home Birth (Planned),6,6,0,0,Tillamook County,2010
Other,2,2,0,0,Tillamook County,2010
Total Births,874,627,4,243,Umatilla County,2010
Good Shepherd Medical Center,541,389,3,149,Umatilla County,2010
St Anthony Hospital,323,229,0,94,Umatilla County,2010
Home Birth (Planned),8,7,1,0,Umatilla County,2010
Other,2,2,0,0,Umatilla County,2010
Total Births,268,173,1,94,Union County,2010
Grande Ronde Hospital,256,162,0,94,Union County,2010
Home Birth (Planned),12,11,1,0,Union County,2010
Total Births,57,41,1,15,Wallowa County,2010
Wallowa Memorial Hospital,52,37,0,15,Wallowa County,2010
Home Birth (Planned),5,4,1,0,Wallowa County,2010
Total Births,291,196,1,94,Wasco County,2010
Mid-Columbia Medical Center,283,189,0,94,Wasco County,2010
Home Birth (Planned),6,5,1,0,Wasco County,2010
Home Birth (Unplanned),2,2,0,0,Wasco County,2010
Total Births,6970,4549,157,2264,Washington County,2010
Providence St Vincent Medical Center,5707,3589,130,1988,Washington County,2010
Tuality Community Hospital - Hillsboro,1131,834,21,276,Washington County,2010
Andaluz Waterbirth Center - Tualatin,49,47,2,0,Washington County,2010
Home Birth (Planned),73,69,4,0,Washington County,2010
Home Birth (Unplanned),7,7,0,0,Washington County,2010
Other,3,3,0,0,Washington County,2010
Total Births,1,1,0,0,Wheeler County,2010
Home Birth (Planned),1,1,0,0,Wheeler County,2010
Total Births,1199,871,5,323,Yamhill County,2010
Providence Newberg Medical Center,566,403,1,162,Yamhill County,2010
Willamette Valley Medical Center,553,390,2,161,Yamhill County,2010
Bella Vie Gentle Birth Center,58,56,2,0,Yamhill County,2010
Home Birth (Planned),21,21,0,0,Yamhill County,2010
Home Birth (Unplanned),1,1,0,0,Yamhill County,2010
Total Births,45485,31437,903,13144,State Total,2011
Total Births,130,102,1,27,Baker County,2011
Saint Alphonsus Medical Center - Baker City,121,93,1,27,Baker County,2011
Home Birth (Planned),9,9,0,0,Baker County,2011
Total Births,1116,856,40,220,Benton County,2011
Good Samaritan Regional Medical Center,1062,805,37,220,Benton County,2011
Home Birth (Planned),53,50,3,0,Benton County,2011
Other,1,1,0,0,Benton County,2011
Total Births,4269,3076,101,1092,Clackamas County,2011
Kaiser Sunnyside Medical Center,1808,1361,65,382,Clackamas County,2011
Legacy Meridian Park Hospital,851,528,11,312,Clackamas County,2011
Providence Milwaukie Hospital,520,363,2,155,Clackamas County,2011
Providence Willamette Falls Medical Center,984,722,19,243,Clackamas County,2011
Home Birth (Planned),97,93,4,0,Clackamas County,2011
Home Birth (Unplanned),6,6,0,0,Clackamas County,2011
Other,3,3,0,0,Clackamas County,2011
Total Births,490,333,2,155,Clatsop County,2011
Columbia Memorial Hospital,332,217,2,113,Clatsop County,2011
